,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-01-01,1211.752,44162569.95230778,,,,
2022-01-02,1340.551,52423149.59873326,,,,
2022-01-03,1395.051,54186826.97008798,,,,
2022-01-04,1265.105,45885462.13868286,,,,
2022-01-05,1231.888,40318462.352,,,,
2022-01-06,1223.939,44203493.21060305,,,,
2022-01-07,1296.167,46257236.54066781,,,,
2022-01-08,1248.91,41478874.12655015,,,,
2022-01-09,1244.843,40580636.957,,,,
2022-01-10,1259.218,40352900.028,,,,
2022-01-11,1196.479,39185883.729,,,,
2022-01-12,1144.413,38661995.70933349,,,,
2022-01-13,1165.42,36546817.18922626,,,,
2022-01-14,1167.638,37691354.64,,,,
2022-01-15,1041.102,34888911.13743117,,,,
2022-01-16,1001.603,33653785.57504739,,,,
2022-01-17,1013.618,31968498.102,,,,
2022-01-18,1002.334,32646402.03118677,,,,
2022-01-19,1000.341,32224984.974,,,1.7110082003910667,
2022-01-20,1079.791,33805560.25489702,,,1.5010487478398404,
2022-01-21,913.513,23411637.05859739,,,2.3417995344424267,
2022-01-22,852.157,19430921.83586422,,,1.7034996070793957,
2022-01-23,835.274,20914425.686,,,1.3533131071472537,
2022-01-24,807.993,19369208.196,,,1.3215454004858604,
2022-01-25,803.702,19693110.106,,,1.3699625504784008,
2022-01-26,762.985,18480237.68927167,,,1.4097635091327159,
2022-01-27,775.924,18532086.95115296,,,1.3832630831345485,
2022-01-28,783.792,18398733.408,,,1.6179946062077963,
2022-01-29,807.144,19572557.3103991,,,1.5390778834242589,
2022-01-30,780.016,18613336.74145064,1.460755951388889,1.1479942146527777,1.560556379826389,1.0364643397916666
2022-01-31,781.481,19386384.35396646,1.460755951388889,1.1479942146527777,1.4890533982141854,1.0364643397916666
2022-02-01,857.793,21834188.59336867,1.460755951388889,1.1479942146527777,1.3300301991727013,1.0364643397916666
2022-02-02,836.428,19172207.45533579,,,1.543728817623772,
2022-02-03,821.997,19288196.80753207,,,1.7852137997348738,
2022-02-04,804.381,19974388.992,,,1.5757329996889764,
2022-02-05,705.92,17749760.26368463,,,1.508629877537482,
2022-02-06,593.036,14575828.74628172,,,2.1376478320440397,
2022-02-07,557.58,14827430.8823779,,,2.3268762513951646,
2022-02-08,507.668,12959464.07389455,,,2.493291289427787,
2022-02-09,533.682,14005986.65815773,,,2.616126245272246,
2022-02-10,477.064,11610505.59569934,,,2.7792346738430838,
2022-02-11,458.539,10581245.964,,,2.7106590504498604,
2022-02-12,491.249,11352921.18345638,,,2.6744058020091046,
2022-02-13,443.128,10165801.28997675,,,2.6019660116569083,
2022-02-14,464.458,10738193.09875115,,,2.6660370599410874,
2022-02-15,459.608,11221739.66647919,,,1.941150854685895,
2022-02-16,455.943,10805796.47028978,,,1.9826832416244704,
2022-02-17,487.249,10887373.88635894,,,2.125308978935766,
2022-02-18,502.731,11056437.37541154,,,2.214138240479112,
2022-02-19,502.292,10894108.56263697,,,2.2865470783419646,
2022-02-20,497.315,10290972.37453882,,,2.221800167350825,
2022-02-21,504.314,9925669.45575009,,,1.9591489043094024,
2022-02-22,466.694,9626771.75970671,,,1.9876184296234645,
2022-02-23,460.964,9391661.87059962,,,2.1346121006464234,
2022-02-24,494.43,9561781.77,,,1.7532697892996036,
2022-02-25,530.052,10698039.516,,,1.7579128004102524,
2022-02-26,459.316,9562959.12,,,1.8652488150263653,
2022-02-27,447.195,8688763.10182279,,,1.8290551592997812,
2022-02-28,412.323,8881849.743,,,1.9341674335338321,
2022-03-01,402.499,8711122.86277596,,,1.8866317855506272,
2022-03-02,457.046,10199327.06716989,,,1.994217789710729,
2022-03-03,492.742,10663629.86174992,,,1.9304994720148443,
2022-03-04,483.468,9580885.356,,,2.0998537780468047,
2022-03-05,503.387,10204966.37000184,,,2.178408923823774,
2022-03-06,1018.896,18524548.176,,,1.791743874673182,
2022-03-07,0.0,0.0,,,1.697884524553344,
2022-03-08,725.54,13952238.53891341,,,1.4790210143484788,
2022-03-09,711.553,14467597.51926582,,,1.6825012223943068,
2022-03-10,622.298,11847811.34821905,,,1.6767780931710858,
2022-03-11,625.223,11560100.61299443,,,1.9513471950995356,
2022-03-12,642.73,11791116.93567037,,,2.080037941195271,
2022-03-13,666.367,12033921.653,,,2.3321698680329153,
2022-03-14,648.249,11999064.99184795,,,2.2194754193166113,
2022-03-15,614.597,11349207.6321532,,,2.1736255529969517,
2022-03-16,573.674,11010638.15105149,,,1.9944387285144936,
2022-03-17,581.146,11267175.47517484,,,1.809759942110765,
2022-03-18,584.682,11997089.958,,,1.7565359106486689,
2022-03-19,579.037,11995670.34350547,,,1.7029751943583957,
2022-03-20,575.399,11452862.16561997,,,1.8782244103157113,
2022-03-21,622.844,12674252.556,,,2.258089434437437,
2022-03-22,614.769,12492155.88816634,,,2.7893769412881326,
2022-03-23,628.89,12871005.61956299,,,2.8889873324091013,
2022-03-24,662.747,14046259.918,,,2.912531439649717,
2022-03-25,637.092,13122185.58075775,,,2.717336552005442,
2022-03-26,644.478,13634498.88677232,,,2.753563835824821,
2022-03-27,641.704,14267807.19423279,,,3.083925076447181,
2022-03-28,674.791,14887239.042,,,2.3253022546648645,
2022-03-29,642.237,14989169.343,,,2.908931833586622,
2022-03-30,622.722,14967745.992,,,2.3984639107072825,
2022-03-31,647.184,14399196.816,,,2.899639657984787,
2022-04-01,594.596,13940303.22,,,3.0766465679000543,
2022-04-02,591.035,13754220.98383445,,,3.0388214715774806,
2022-04-03,624.262,15710035.33605618,,,2.716271495628082,
2022-04-04,605.276,14306908.812,,,2.623156651641736,
2022-04-05,577.255,13577461.65586973,,,2.969939678310129,
2022-04-06,583.526,12644827.81694659,,,2.26684558655397,
2022-04-07,576.562,12271545.608,,,2.158081314905292,
2022-04-08,569.842,11733616.622,,,2.2454142910107207,
2022-04-09,572.849,11820166.266,,,2.4699104806068917,
2022-04-10,582.758,11782784.002,,,2.522905048496083,
2022-04-11,586.428,10836016.584,,,2.170511909118063,
2022-04-12,587.795,11069943.235,,,1.999929768238434,
2022-04-13,581.152,11262725.76,,,2.162910666031428,
2022-04-14,587.697,11019982.14892642,,,2.5805562652040894,
2022-04-15,604.137,11532286.64921035,,,2.925249421821106,
2022-04-16,624.02,11915796.63277598,,,3.2837635891450017,
2022-04-17,610.009,11403085.79526551,,,2.874666076624597,
2022-04-18,591.295,11309665.34685277,,,2.991651862846929,
2022-04-19,586.484,11393038.184,,,3.049687014712127,
2022-04-20,583.751,11174620.2582618,,,3.0043697874558295,
2022-04-21,583.544,10964930.54717557,,,2.631186210568029,
2022-04-22,589.159,11021397.413,,,2.7642387364179957,
2022-04-23,600.273,10996150.34421592,,,3.0044218018431144,
2022-04-24,591.805,10792747.785,,,2.618534752341709,
2022-04-25,586.862,10969462.61684381,,,2.4631207800719133,
2022-04-26,638.39,11128871.82673915,,,2.6620425355629367,
2022-04-27,650.359,11514190.6867865,,,2.972926726814386,
2022-04-28,631.7,11281530.3,,,2.672036417134531,
2022-04-29,638.843,10798363.229,,,2.1953623382583367,
2022-04-30,641.989,10678070.45806046,,,2.303635621063717,
2022-05-01,627.242,10710469.5562016,2.1131855309218204,1.0330023946,1.9622683096700086,
2022-05-02,585.502,10029649.26,2.1131855309218204,1.0330023946,1.918708969813232,
2022-05-03,566.409,9882434.66204081,2.1131855309218204,1.0330023946,1.7753755033488343,
2022-05-04,574.465,10519799.55520464,,,1.4080746094475471,
2022-05-05,556.084,9388922.256,,,1.8506681313299203,
2022-05-06,577.506,9670563.99232321,,,2.1289620594974155,
2022-05-07,601.077,9865476.801,,,1.9364100602006455,
2022-05-08,627.078,9704032.05,,,1.7689256128698112,
2022-05-09,686.925,8659376.55,,,1.6463793104516236,1.047762958220354
2022-05-10,618.439,8507246.884,,,1.4892900213868385,1.0264024414265431
2022-05-11,607.26,6863242.46721757,,,1.3443440483265467,1.0669431964433334
2022-05-12,547.074,5435180.19,,,1.247109700882337,1.0506178237069443
2022-05-13,586.103,5791283.743,,,1.7763063597136153,1.0520773342760417
2022-05-14,573.635,5885669.73443355,,,1.473378670936814,1.2215956608649305
2022-05-15,604.986,6385951.47275489,,,1.4083568854031592,1.1598227255024307
2022-05-16,620.972,6024049.372,,,1.8639306307763457,1.0689084735677084
2022-05-17,631.022,6304391.73066894,,,1.9431259004429187,1.1777252806125
2022-05-18,705.859,6405088.91702474,,,1.7363636639895863,1.0901686306979166
2022-05-19,638.534,6070128.80173844,,,1.6282274823371843,1.0919218082614581
2022-05-20,747.161,6871729.33490487,,,1.5461220127315538,1.1464679043215278
2022-05-21,1052.63,9782957.90827797,,,1.6668544630683404,1.4131339190534724
2022-05-22,1103.655,10492996.15735801,,,1.3975984018193333,1.1543316833548611
2022-05-23,1013.651,9040753.269,,,1.583997047937756,1.0283548954729167
2022-05-24,932.48,8466918.4,,,1.731425377617799,1.039281856411111
2022-05-25,1632.098,13825502.158,,,0.8738138805952173,1.098631066915625
2022-05-26,1383.573,10794636.546,,,0.8916160265167794,1.1219603133381943
2022-05-27,1488.431,10957769.13162975,1.0247015899773297,1.0608687180520833,0.8786538949524887,1.1997233700229166
2022-05-28,1515.796,11569809.36038817,0.947338816296507,1.0464071527065972,0.8716978562583761,1.1572529233181494
2022-05-29,1459.275,10823442.675,1.2043916531119057,1.0425698031760418,1.0909458974603825,1.0765226959048608
2022-05-30,1243.551,10411008.972,1.317597187558027,1.0384388498857637,1.2806635607419672,1.141821659215625
2022-05-31,1146.247,9221782.74874724,1.650112866447071,0.9620458571420138,1.6526241557207049,1.0849887643940974
2022-06-01,1151.481,8674106.373,1.9750198566314678,1.0922133291440972,1.8655057470251384,1.0862473196017361
2022-06-02,1203.396,9108504.324,1.877733985069454,1.044557412735764,1.8296581680768513,1.3261164283298612
2022-06-03,1181.289,8787608.871,1.751497499936855,1.0281847783256945,1.7031398758282452,1.1092241948725696
2022-06-04,1187.45,8966434.95,1.582419372863911,1.0074139595090277,1.572155945056943,1.1011915635406249
