date,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-01-01,39548603.0,101762356.53523432,,,,
2022-01-02,42180555.0,107404347.1965,,,,
2022-01-03,43011261.0,104409836.0775,,,,
2022-01-04,41719506.0,98639988.77907827,,,,
2022-01-05,39265253.0,86151891.6073,,,,
2022-01-06,37694150.0,84683677.39,,,,
2022-01-07,35956203.0,73523383.0449056,,,,
2022-01-08,35916902.0,71632669.3488,,,,
2022-01-09,35394778.0,74842726.35391293,,,,
2022-01-10,37810634.0,78006496.64236435,,,,
2022-01-11,38138406.0,89784442.28110775,,,,
2022-01-12,36932613.0,88394932.18474852,,,,
2022-01-13,34524077.0,78049621.42958078,,,,
2022-01-14,34912801.0,81644998.40868448,,,,
2022-01-15,35508856.0,83559652.992336,,,,
2022-01-16,35905794.0,83543157.01274449,,,,
2022-01-17,41339874.0,91589919.96644418,,,,
2022-01-18,40399952.0,85948710.62659872,,,,
2022-01-19,39548475.0,80349261.55702426,,,4.313056900423026,
2022-01-20,39313148.0,76910260.18514636,,,4.490632788320487,
2022-01-21,35317106.0,59838184.49325596,,,4.773799942635706,
2022-01-22,36633638.0,55987188.9554,,,3.552233911873529,
2022-01-23,35625828.0,57532149.6372,,,3.7479415522982293,
2022-01-24,35902561.0,54166193.7807,,,3.6929158495317784,
2022-01-25,36121755.0,56363018.57113815,,,3.1910143288180546,
2022-01-26,34306528.0,54435997.20167296,,,2.751116782334553,
2022-01-27,32108020.0,51132021.85,,,2.7849849052658975,
2022-01-28,35996066.0,60426570.07703248,,,2.751774149706361,
2022-01-29,34032733.0,57682317.05050367,,,2.325667026809439,
2022-01-30,35014597.0,56208932.5641,2.6466964034375002,1.0196835690277777,2.6338196544791668,1.0144332244097223
2022-01-31,35292794.0,57908416.3952,,,2.7624452465852247,
2022-02-01,35217584.0,58031534.9152,,,2.301772682873434,
2022-02-02,32635543.0,50009713.31998194,,,2.523011677901953,
2022-02-03,33572351.0,51947566.63878531,,,3.224443807697389,
2022-02-04,32962421.0,55720058.8224836,,,2.8361908124138426,
2022-02-05,30913924.0,52963205.17216468,,,2.387443480151251,
2022-02-06,31062211.0,54113232.70225521,,,2.2567406752001613,
2022-02-07,37284542.0,75575339.7259941,,,2.173876520186749,
2022-02-08,34776080.0,67587244.3621656,,,2.007280274823713,
2022-02-09,37534383.0,76806607.9329,,,2.4218582087873086,
2022-02-10,34392342.0,65010028.1669424,,,2.2966971777811045,
2022-02-11,34493508.0,59087379.204,,,3.0149605997097786,
2022-02-12,34115044.0,57766913.6003334,,,3.600940707979848,
2022-02-13,33226554.0,55498313.1462,,,3.2158953722134513,
2022-02-14,34411854.0,57077574.70272204,,,3.4498659974012287,
2022-02-15,34187961.0,63497299.9653,,,2.9348927638123223,
2022-02-16,32580233.0,59849888.021,,,2.5219261357294576,
2022-02-17,32040973.0,52995281.35798121,,,2.973032744660534,
2022-02-18,33512258.0,53431944.1552,,,4.008898214072414,
2022-02-19,34881678.0,56895504.9858,,,4.0877020765890295,
2022-02-20,34503514.0,52186564.925,,,3.968937389735291,
2022-02-21,33449237.0,46818897.0289,,,4.266449446726542,
2022-02-22,34078959.0,49847293.3293,,,3.92260375991552,
2022-02-23,35256249.0,50776049.8098,,,3.079226641415814,
2022-02-24,35319800.0,50733360.72,,,3.232973421760587,
2022-02-25,33208451.0,51453823.20461705,,,2.6131880406957513,
2022-02-26,31806562.0,48050736.50761302,,,2.1093631217508424,
2022-02-27,31157283.0,45213131.61089046,,,2.406454664376879,
2022-02-28,32116372.0,51600791.65908448,,,2.4382754297664198,
2022-03-01,31807539.0,51539034.74091858,,,2.412996871008719,
2022-03-02,32165726.0,52619409.3780744,,,2.1748482719915123,
2022-03-03,31963738.0,50612617.50839894,,,2.4155562710943213,
2022-03-04,31910924.0,46974309.09917672,,,2.955628650846531,
2022-03-05,31859289.0,48069295.2432,,,3.2848412301388348,
2022-03-06,31950447.0,45826526.1321,,,3.10608375755557,
2022-03-07,0.0,0.0,,,3.349591780265743,
2022-03-08,32454182.0,46886556.7354,,,2.8050414686013188,
2022-03-09,32898686.0,49552000.8532,,,2.710597991402271,
2022-03-10,33565998.0,48306019.65038898,,,3.3329731475859172,
2022-03-11,36725646.0,51600142.64298006,,,3.5040630502247714,
2022-03-12,38975676.0,54452916.9396,,,3.902119219881802,
2022-03-13,39038994.0,53150455.07705448,,,3.9838238737620366,
2022-03-14,40516851.0,55730928.5505,,,4.19516530092891,
2022-03-15,39266690.0,54078085.468,,,3.9746317099540924,
2022-03-16,39091238.0,57315573.1556,,,3.44016559868743,
2022-03-17,39653618.0,57394646.6932,,,2.5881787611671934,
2022-03-18,39683500.0,59473661.45,,,2.685444795355283,
2022-03-19,39927907.0,60978117.57677222,,,2.037919383054075,
2022-03-20,39214483.0,57336375.95944335,,,2.301962571354941,
2022-03-21,39671175.0,58179138.8588025,,,2.889277592126341,
2022-03-22,41317421.0,62149664.6682,,,2.5955773388970176,
2022-03-23,42720094.0,66551788.9345392,,,2.785364251437132,
2022-03-24,44077967.0,71858402.34646791,,,2.39857966885697,
2022-03-25,40726799.0,64307198.57857824,,,2.146363958578592,
2022-03-26,42135732.0,67840429.68422784,,,2.416363846170223,
2022-03-27,42952866.0,72777205.6882464,,,2.1869232527444393,
2022-03-28,42817057.0,70834068.5566111,,,2.2009182404980154,
2022-03-29,40811745.0,68390266.1752869,,,2.3991365492706596,
2022-03-30,42084528.0,70894449.48625728,,,2.629334129282999,
2022-03-31,43440110.0,70255460.9736203,,,2.749330006267024,
2022-04-01,43514240.0,73578228.416,,,2.7900541975372537,
2022-04-02,43283819.0,71432131.39584687,,,2.777319477498611,
2022-04-03,44679642.0,75468383.3022,,,3.0793898497856174,
2022-04-04,44581472.0,73534024.49399552,,,3.1409086800721813,
