,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-01-01,114948.532,17229482.73856141,,,,
2022-01-02,106268.31,16269008.18829666,,,,
2022-01-03,105240.105,15819692.5836,,,,
2022-01-04,120744.533,17829552.47972428,,,,
2022-01-05,116621.134,16079721.95592,,,,
2022-01-06,109552.609,15108711.48699376,,,,
2022-01-07,124589.086,17349503.38245546,,,,
2022-01-08,122030.575,17569202.56647521,,,,
2022-01-09,129493.708,18627312.63431406,,,,
2022-01-10,119499.786,16882914.87640667,,,,
2022-01-11,137900.153,19472673.56321929,,,,
2022-01-12,140119.764,20216479.54992,,,,
2022-01-13,133034.049,19071761.9777025,,,,
2022-01-14,127053.933,18087866.38022392,,,,
2022-01-15,124635.442,18011420.05410463,,,,
2022-01-16,122939.943,17356661.15274,,,,
2022-01-17,124003.817,17211729.7996,,,,
2022-01-18,134073.183,17654748.77081147,,,,
2022-01-19,136716.098,17227595.50898,,,3.0390402887581383,
2022-01-20,128245.113,15315031.39446,,,3.0158464755274625,
2022-01-21,119755.555,12174349.7213,,,2.941383410423364,
2022-01-22,125242.799,11797871.6658,,,2.429800089600705,
2022-01-23,137692.802,13433309.76312,,,1.8756083972542905,
2022-01-24,130092.139,12294918.00711138,,,1.8144407415768282,
2022-01-25,147546.541,13352961.9605,,,1.9363904173967184,
2022-01-26,135194.216,12062027.95152,,,2.160459457010532,
2022-01-27,140402.28,12446662.122,,,2.012753341865921,
2022-01-28,140122.643,12816438.60235365,,,1.84609439842458,
2022-01-29,132171.326,12683160.44296,,,1.959254676623547,
2022-01-30,133529.656,12420157.51142139,1.9035334752083335,1.0315468336805556,1.9485054923958331,1.0761877297222222
2022-01-31,130437.94,12348660.052662,1.9035334752083335,1.0315468336805556,2.1453373525761004,1.0761877297222222
2022-02-01,136815.479,13526946.40873,1.9035334752083335,1.0315468336805556,2.0185683619312504,1.0761877297222222
2022-02-02,144812.922,14149670.60862,,,2.3023899989304137,
2022-02-03,154173.474,15418889.13474,,,2.352206549884935,
2022-02-04,141942.735,15203486.34585,,,2.358541926677454,
2022-02-05,149654.918,17339018.79948,,,1.8670564522186177,
2022-02-06,150886.456,18715478.15690476,,,1.5487306188921701,
2022-02-07,141474.825,18242964.50642718,,,1.7738691427760607,
2022-02-08,159168.345,21243500.55416857,,,1.5094720374122348,
2022-02-09,146116.802,18423877.84641936,,,1.7320529503330653,
2022-02-10,134999.093,17078735.25543,,,2.0987479616959575,
2022-02-11,129665.461,15090199.83808812,,,1.7888718334007885,
2022-02-12,122144.505,14333657.66175,,,1.5672506844163736,
2022-02-13,118980.734,13994513.93308,,,1.6420020160390851,
2022-02-14,115990.22,13990296.9371063,,,1.2541072029297193,
2022-02-15,127794.428,16087668.40482361,,,1.4462640667875233,
2022-02-16,132757.838,16664094.28258761,,,2.0868379601619136,
2022-02-17,122063.235,13788500.33483833,,,1.8993407758123892,
2022-02-18,124095.711,13550170.59134128,,,2.110364292062887,
2022-02-19,113824.243,12768215.98371212,,,1.8766471518839802,
2022-02-20,114435.581,12337502.26165426,,,1.4664004502880787,
2022-02-21,121853.643,12159775.03497,,,1.6228653234511778,
2022-02-22,117869.68,12096965.2584,,,1.8116390572054826,
2022-02-23,112149.468,10974762.7767171,,,1.4492066348092996,
2022-02-24,118114.954,12067446.71264683,,,1.6733883679100066,
2022-02-25,116274.424,12393709.0127368,,,1.398174314219186,
2022-02-26,116746.396,12529223.21872,,,1.6085350974721662,
2022-02-27,114187.508,11713956.92687283,,,1.740455498107111,
2022-02-28,123396.781,14624224.62622427,,,1.5063238933750387,
2022-03-01,119537.708,14237450.2211609,,,1.3445445146545858,
2022-03-02,142097.9,17905456.74284219,,,1.210644044622638,
2022-03-03,133197.295,17141159.89355,,,1.0712249511342509,
2022-03-04,138063.777,16120326.60252,,,1.4442702057746832,
2022-03-05,127354.857,14834617.30493034,,,1.6105810701504546,
2022-03-06,128987.072,13860501.20879692,,,1.5117848364881834,
2022-03-07,0.0,0.0,,,1.582388956010995,
2022-03-08,205548.953,28675711.85315949,,,0.9108433595367571,
2022-03-09,200609.513,28400223.09792249,,,0.737636701904755,
2022-03-10,253614.938,40144608.44434857,,,0.9712230786373399,
2022-03-11,281656.905,43282216.59135,,,0.8080484881481327,
2022-03-12,260218.574,39467351.11858,,,0.8886132694388791,
2022-03-13,281796.137,43844660.95583,,,0.8462606117251633,
2022-03-14,256735.549,38079016.62768,,,0.8874518311943395,
2022-03-15,220813.176,30051635.0629148,,,1.391984449053212,
2022-03-16,221755.557,34057218.44406,,,1.274290208996558,
2022-03-17,214732.082,32639050.5100194,,,1.0723842981152893,
2022-03-18,224971.457,38375769.54874892,,,1.121016020898141,
2022-03-19,207438.867,37282987.56591,,,0.7617453003475644,
2022-03-20,204327.157,35144271.004,,,0.7862124603330847,
2022-03-21,216098.143,39237780.36632996,,,1.076908522481822,
2022-03-22,211413.313,36868367.65407,,,0.9832125552060433,
2022-03-23,191206.154,34814446.0947258,,,1.1644765184156245,
2022-03-24,195650.519,37712590.27114781,,,0.8790756447206522,
2022-03-25,212564.714,41486341.65381577,,,0.704444967904143,
2022-03-26,210396.06,43072281.4032,,,0.5583164740567164,
2022-03-27,162896.945,34202346.61281413,,,1.0251889182873994,
2022-03-28,160391.472,30673685.85541675,,,1.2039779795684025,
2022-03-29,164583.87,32242013.5303589,,,1.5263584366776368,
2022-03-30,151249.236,28914376.8263275,,,1.6949080358217805,
2022-03-31,147179.277,26224718.90746097,,,1.8500262405880252,
2022-04-01,140471.971,26067031.17074845,,,2.002136461097492,
2022-04-02,148094.901,26315831.77498173,,,2.080404584181996,
2022-04-03,159234.924,28652732.22456,,,2.1997120804910537,
2022-04-04,155567.737,27042339.72271,,,2.1063421324462137,
2022-04-05,164345.395,27223312.21378278,,,2.0035580759658576,
