date,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2024-07-26,845187.0,5732058.234,2.4185708983333334,1.2240539642857142,2.424487513690476,0.9540676011904763
2024-07-27,1091845.5,7061216.999299769,2.5547398837500004,1.4475331284722222,2.611064292708333,1.25418415625
2024-07-28,1220149.9,7646354.61939662,2.720403940590278,1.4689889930555555,2.806784882569444,1.2094973958333333
2024-07-29,1418206.0,8721630.68590358,2.692590019236111,1.4017839166666666,2.814391391909722,1.232104965277778
2024-07-30,1492509.1,8971472.2001,2.888033087604166,1.3908569513888889,3.125721171770833,1.6589141875
2024-07-31,1530781.1,8786683.514,3.01395633,1.3434506006944444,3.2427889000694443,1.2775059340277777
2024-08-01,1823436.6,10215684.95518354,3.0412888270138887,1.2851536388888887,3.1573758584375,1.1602218819444443
2024-08-02,2034531.1,10040410.9785,3.087562475972222,1.1985930659722221,2.9597548593402774,1.15288334375
2024-08-03,2148651.6,10631528.1168,2.589915375590278,1.0790105868055555,2.656092610763889,1.1528704340277778
2024-08-04,1836941.6,8322792.939611379,2.1718291252083333,1.1142842534722222,2.4218694263194447,1.0018570208333333
2024-08-05,1431550.0,5910046.121606,2.05308412875,1.0489604375,2.1182043638888888,1.082190517361111
2024-08-06,1546888.2,7226555.992647421,1.9718135851041667,1.0918036805555555,2.0911940139583334,1.0755648993055555
2024-08-07,1619647.2,7082717.2056,2.0022147676736113,1.1344984895833334,2.069544520868056,1.0666742152777777
2024-08-08,1694019.3,8536232.80913246,2.188992950763889,1.27968384375,2.172877933298611,1.1266929791666667
2024-08-09,1597703.6,7752057.8672,2.4146327374305554,1.2887969305555556,2.2117030576388887,1.0876412986111113
2024-08-10,1659729.8,8122991.778771071,2.503301840763889,1.1633316388888888,2.378554507534722,1.1166806249999999
2024-08-11,1545775.0,6923526.225,2.6409490706597225,1.135877090277778,2.472611719791667,1.1743888368055555
2024-08-12,1503596.7,7074656.46321845,2.2547505687900355,1.085309818505338,2.3406999870818503,1.1938568159722225
2024-08-13,1562049.1,7539758.000607271,2.183254816875,1.0796967152777779,2.2488254620138886,1.21203353125
2024-08-14,1539296.5,7232378.247955459,2.2510594767361116,1.0252917916666666,2.2634681358680555,1.085963
2024-08-15,1602756.7,7276515.418,2.179376825486111,1.0587197465277778,2.2384884375694445,1.1895700034722223
2024-08-16,1579384.1,7105649.0659,2.0258185970486107,1.0528798194444444,2.2294707957638886,1.2256683472222223
2024-08-17,1506828.9,6800318.8257,2.167213989270833,1.0305499826388889,2.356559033506944,1.2038173402777776
2024-08-18,1577673.6,7086909.8112,2.366298766041667,1.0474325798611113,2.529915001388889,1.1484089375000002
2024-08-19,1745592.1,8052416.3573,2.4184712616666664,1.0057635694444444,2.6089022105555557,1.190281951388889
2024-08-20,1731554.5,7775167.91679128,2.4631195920833333,1.0487019166666667,2.435510024548611,1.225934170138889
2024-08-21,1636537.6,7827248.513213631,2.5673202554166665,1.0345816180555556,2.4282802341666665,1.311382826388889
2024-08-22,1780778.0,8989367.344,2.410638488645833,1.0462249270833333,2.1200980062847226,1.1681893472222222
2024-08-23,2094661.9,11721921.53915956,2.1003872295833337,1.0663627673611111,1.9800857659722222,1.1930375833333333
2024-08-24,2617071.5,16223423.60803253,2.099973365694445,1.1684690381944445,1.8693941954166666,1.1082079479166669
2024-08-25,2665985.0,16833941.2701488,1.6926550882291669,1.2281020069444444,1.5287845666666666,1.0915794583333331
2024-08-26,2903757.1,17884616.24774502,1.6770383052777778,1.2787649722222223,1.5675842803819444,1.0571081805555556
2024-08-27,2623387.8,14987414.5014,1.6442181097569444,1.452820972222222,1.5968021125,1.0893485486111112
2024-08-28,2974859.7,16400718.97337859,1.7206671752430556,1.5186536006944447,1.7408552324652777,1.0615682534722224
2024-08-29,2607991.2,13674018.09683945,1.6925278670486112,1.3114798645833334,1.820065586770833,1.0901919097222224
2024-08-30,2403050.7,12577567.3638,1.6304391644097223,1.3648382847222222,1.7186594613194446,1.1002810069444446
2024-08-31,2383205.5,11901156.27384795,1.4566029103819444,1.3297625833333333,1.572899360451389,1.1843408680555554
2024-09-01,2435090.7,11737137.174,1.1458267728819445,1.3655009722222222,1.2988025921180555,1.0790571458333333
2024-09-02,2284543.5,11615410.99962254,1.1863669084375,1.3696531597222221,1.3699074569791667,1.0708058472222222
2024-09-03,2258988.4,10628540.422,1.4450417101041668,1.28074590625,1.5909027277430556,1.0797065347222223
2024-09-04,2142145.6,10530787.7696,1.5589743946180556,1.346556048611111,1.6954205484375,1.0660321875
2024-09-05,2115837.9,9889426.3446,1.801075246284722,1.4203992048611112,1.8526847152430552,1.1077148055555557
2024-09-06,2171928.8,10156163.95030795,1.7821870347569444,1.640388173611111,1.8421201673263892,1.054442388888889
2024-09-07,2190116.3,10322018.1219,1.8473433884375001,1.6927053368055556,1.9056743300347223,1.084222347222222
2024-09-08,2336737.3,11376389.00094992,1.9234845845486115,1.7258025902777776,1.9693448882638889,1.1334615694444445
2024-09-09,2577624.3,13307709.32298217,2.008571235277778,1.769876909722222,2.0132648302430556,1.082538267361111
2024-09-10,2521537.9,13272933.42957537,2.0078698381597224,1.8189617743055555,1.9487575400694448,1.1039484097222223
2024-09-11,2378982.5,12094537.75090948,2.2489361118055555,1.9743768680555556,2.0969242770833336,1.0928515555555558
2024-09-12,2471134.8,12948746.352,2.068895041111111,1.9637386875,2.0244259622916667,1.0870118090277776
2024-09-13,2372499.2,12411858.53385651,2.1720906654861114,1.9452983368055554,2.1543339100694445,1.146123795138889
2024-09-14,2562720.4,13410715.8532,2.112291950451389,1.92426790625,2.0336362354513886,1.1205906493055557
2024-09-15,2543328.1,12566593.374381,2.1448018164236107,2.0185883194444445,2.087337224375,1.1584318402777778
2024-09-16,2634822.6,12477997.48001955,1.7038573889583333,1.99242375,1.741130585590278,1.2313842326388889
2024-09-17,2839938.2,13532305.523,1.603534336875,2.0369884548611115,1.7161720750000002,1.1348439340277778
2024-09-18,2794019.9,13933789.47910716,1.7134463835763887,1.9335227569444444,1.839738196701389,1.094567829861111
2024-09-19,2905464.9,14900973.67816278,1.8357206270486113,2.2687351701388887,1.7722831750694443,1.0659236284722222
2024-09-20,3032266.4,16010111.18420113,2.0929010071527774,2.6997859201388885,1.9295327393750001,1.0723128993055555
2024-09-21,3045312.9,17062888.1787,2.2729356272222225,2.745018302083333,2.0551990587152775,1.1460235729166668
2024-09-22,3025237.4,17026036.0872,2.2503878753125,2.606173559027778,2.0137249056944437,1.0790917812500003
2024-09-23,3057335.3,18967286.10548848,2.0409510762500003,2.215669545138889,1.837126582951389,1.0773309722222222
2024-09-24,2897061.7,18130060.88928818,2.243629594861111,2.4874227152777775,1.9072670743402778,1.101487642361111
2024-09-25,3043749.4,18008114.46558261,2.3318793663541664,2.503466996527778,2.0107477438194445,1.1208571909722223
2024-09-26,3106739.4,19615952.5716,2.1682398078819443,2.5365347291666667,1.9350368325000002,1.1058358819444445
2024-09-27,3180799.0,21285906.908,2.1877593836805556,2.4641888958333333,1.9372082169097224,1.0393353958333333
2024-09-28,3248856.4,21228027.7176,2.2321390521527777,2.58821040625,1.9576573860069446,1.0952139756944446
2024-09-29,3325928.4,22184303.98967636,2.096627040138889,2.5956696215277777,1.9300873128472225,1.1315582326388889
2024-09-30,3191094.3,20557582.082399927,1.9333715501736108,2.635722079861111,1.770410658576389,1.061389371527778
2024-10-01,3161715.9,18336211.790248528,1.8605497638194446,2.6938105833333332,1.7770465774652777,1.0863716909722223
2024-10-02,3234953.1,17560503.3702723,1.927221362638889,2.5769860381944443,1.9317404263194444,1.068656795138889
2024-10-03,3068446.5,16112412.5715,1.9424557920486112,2.403292732638889,1.9542443012500001,1.0805212465277778
2024-10-04,3309478.3,18779279.506328408,1.8278310221180556,2.014363802083333,1.8446949597916666,1.1594210868055557
2024-10-05,3327148.3,18109668.1969,1.9291826898958335,1.9951490069444446,1.872708372638889,1.241067173611111
2024-10-06,3720082.6,20211031.020253368,2.0625292178125,2.0719061354166666,2.038153726458333,1.3150886909722221
2024-10-07,3877274.0,20331031.32495166,2.226143035902778,2.287877121527778,2.1953223202430556,1.1086666597222221
2024-10-08,3879247.3,20729219.19005397,2.505398014548611,2.3558509027777776,2.426990562986111,1.1177863993055557
2024-10-09,3822799.1,19362780.93352055,2.672404402083333,2.5093359791666665,2.588765602048611,1.027654
2024-10-10,4051265.9,20608789.6333,2.631708908645833,2.54451428125,2.5255214927777776,1.1311896041666667
2024-10-11,3851040.0,20787913.92,2.6907972895833336,2.5754488194444445,2.569979551354167,1.1234537083333334
2024-10-12,4015672.8,21868260.92235038,3.0123072702083338,2.582313993055555,2.738797044826389,1.3231479826388888
2024-10-13,4169417.7,22458469.2922971,3.1635741463541667,2.62619653125,2.855108696423611,1.2140757534722222
2024-10-14,4095545.3,22895761.0183918,2.926552658854167,2.659627597222222,2.686829553090278,1.09982865625
2024-10-15,4141363.4,22702664.097707473,3.4705674946875,2.7312858125,3.010761777638889,1.0813296562499997
2024-10-16,4000200.4,21465075.3464,3.299531805520833,2.710113829861111,2.9784887317361113,1.0308468819444443
2024-10-17,4177929.4,21800435.6092,3.002274521875,2.5628502430555553,2.8110816838194443,1.1127756076388888
2024-10-18,4276534.5,23131764.547459792,2.879384494548612,2.5892131493055555,2.756459902777778,1.1876325694444445
2024-10-19,4386560.3,23526626.68950205,3.0783769505555556,2.611728100694444,2.8642890195833335,1.2881101840277778
2024-10-20,4492051.8,24778157.7288,3.5586263431597223,2.6426256944444444,3.1955437730555554,1.3133404375
2024-10-21,4496554.1,23539460.7135,4.130522389270833,2.6802076493055558,3.455871436354167,1.1436737604166665
2024-10-22,4759366.3,24820095.2545,4.034623838333333,2.367055371527778,3.5278260346180557,1.2835031423611112
2024-10-23,4675265.1,23836923.1736165,4.042962760833333,2.1310756493055556,3.5926273672222226,1.1537827256944446
2024-10-24,4694251.3,24425731.15296944,3.849700603854166,2.0779181805555558,3.528174438993055,1.0859010034722223
2024-10-25,4242667.8,19535465.53942049,4.015592169340278,2.2021952118055554,3.623592729722222,1.1014789444444444
2024-10-26,4018632.5,19249249.675,3.075514802777778,1.7213027881944445,3.145592258298611,1.0308068055555557
2024-10-27,4003638.3,19497718.521,3.104557229861111,1.7331782395833333,3.046829514513889,1.2464704618055553
2024-10-28,4019122.5,19725853.23,3.2366355443006998,1.6839261013986013,3.1293284184615384,1.1257675104895106
2024-10-29,4243901.7,21843362.0499,3.2806010168750004,1.7077494826388888,3.141472734409722,1.1382741770833333
2024-10-30,4114639.4,20470012.95337438,3.9854438630555555,1.8048424652777781,3.7702624190624996,1.20109996875
2024-10-31,4081463.7,19492270.37861234,3.8324799005208336,1.828952232638889,3.6786978282291667,1.2182616041666665
2024-11-01,4048091.1,19009097.595707,3.218620728472222,1.8189557569444443,3.1664798371180556,1.2461087291666668
2024-11-02,4068656.3,18715072.05607645,3.270727273923611,1.8010711319444443,3.220357471840278,1.2956059166666667
2024-11-03,3971215.7,17658584.1330214,3.2904681371527778,1.8536705069444441,3.1650658757291663,1.075965552083333
2024-11-04,3971736.5,16763663.9376208,3.143976142986111,1.8138830833333333,2.959513936388889,1.3090172604166668
2024-11-05,3975660.8,17567812.78610637,2.9748055125694446,1.7584822430555556,2.8622387749652782,1.1352030659722223
2024-11-06,3989972.3,20160857.02068384,2.759820570972222,1.9167269930555557,2.5809897520138887,1.1157974722222221
2024-11-07,4212267.7,21186081.18538528,3.4288882943749996,2.0757462395833333,2.8614374424305553,1.1781858333333333
2024-11-08,4201059.5,20896069.953,3.699706759513889,2.108034857638889,3.0451051021875,1.2398291597222224
2024-11-09,4237953.5,22505377.866158552,3.78456404545139,2.122408479166667,3.171169693125,1.1372649131944443
2024-11-10,4046869.0,22816550.330144648,3.9859530642361105,2.197712888888889,3.230164197361111,1.0658080347222223
2024-11-11,5326389.4,36922531.3208,3.220348035798611,2.32274078125,2.5714057081944444,1.0318349375
2024-11-12,5532773.0,39869162.238,2.9887810155208334,2.818072763888889,2.264182811493056,0.9865581562499999
2024-11-13,5424098.0,38011391.60502438,3.2370822463541664,3.1040156909722225,2.473520178993055,1.0183992256944445
2024-11-14,5760266.2,37855437.97553156,3.3793879835069447,3.565618093749999,2.5623045855902777,1.0547168819444446
2024-11-15,5674340.2,39272108.5242,3.588540346875001,3.883312378472223,2.8183186641666667,1.0783671006944442
2024-11-16,5974201.0,42074132.83152564,3.628787412881944,4.072199013888889,2.9018061371180557,1.1403810104166667
2024-11-17,6088025.2,43151922.6176,3.8130676785069446,4.194859006944444,3.0229466292708334,1.0730849652777779
